106,G-0106,WC-1934,M-1934-07,T-03,P-05859,T-03,48,0,0,0
107,G-0107,WC-1934,M-1934-07,T-72,P-03773,T-72,67,0,0,0
108,G-0108,WC-1934,M-1934-07,T-72,P-08693,T-72,79,0,0,0
109,G-0109,WC-1934,M-1934-08,T-73,P-00717,T-73,7,0,0,0
110,G-0110,WC-1934,M-1934-08,T-46,P-00058,T-46,29,0,0,0
111,G-0111,WC-1934,M-1934-08,T-73,P-00717,T-73,43,0,0,0
112,G-0112,WC-1934,M-1934-08,T-73,P-00794,T-73,66,0,0,0
113,G-0113,WC-1934,M-1934-08,T-46,P-02178,T-46,69,0,0,0
114,G-0114,WC-1934,M-1934-09,T-05,P-05418,T-05,8,0,0,0
115,G-0115,WC-1934,M-1934-09,T-05,P-07363,T-05,51,0,0,0
116,G-0116,WC-1934,M-1934-09,T-34,P-06711,T-34,60,0,0,1
117,G-0117,WC-1934,M-1934-10,T-73,P-00717,T-73,18,0,0,0
118,G-0118,WC-1934,M-1934-10,T-20,P-03733,T-20,24,0,0,0
119,G-0119,WC-1934,M-1934-10,T-20,P-06883,T-20,49,0,0,0
120,G-0120,WC-1934,M-1934-10,T-73,P-06294,T-73,78,0,0,0
121,G-0121,WC-1934,M-1934-10,T-20,P-03976,T-20,82,0,0,0
122,G-0122,WC-1934,M-1934-11,T-29,P-01997,T-29,60,0,0,0
123,G-0123,WC-1934,M-1934-11,T-29,P-01997,T-29,63,0,0,0
124,G-0124,WC-1934,M-1934-11,T-72,P-05300,T-72,82,0,0,0
125,G-0125,WC-1934,M-1934-12,T-71,P-01334,T-71,30,0,0,0
126,G-0126,WC-1934,M-1934-12,T-39,P-08089,T-39,44,0,0,0
127,G-0127,WC-1934,M-1934-13,T-39,P-05539,T-39,11,0,0,0
128,G-0128,WC-1934,M-1934-14,T-20,P-03976,T-20,21,0,0,0
129,G-0129,WC-1934,M-1934-14,T-29,P-01398,T-29,62,0,0,0
130,G-0130,WC-1934,M-1934-14,T-20,P-03976,T-20,69,0,0,0
131,G-0131,WC-1934,M-1934-14,T-20,P-03976,T-20,80,0,0,0
132,G-0132,WC-1934,M-1934-15,T-39,P-06167,T-39,19,0,0,0
133,G-0133,WC-1934,M-1934-16,T-29,P-02630,T-29,1,0,0,0
134,G-0134,WC-1934,M-1934-16,T-29,P-08398,T-29,27,0,0,0
135,G-0135,WC-1934,M-1934-16,T-05,P-05418,T-05,28,0,0,0
136,G-0136,WC-1934,M-1934-16,T-29,P-02630,T-29,42,0,0,0
137,G-0137,WC-1934,M-1934-16,T-05,P-04107,T-05,54,0,0,0
138,G-0138,WC-1934,M-1934-17,T-20,P-09763,T-20,71,0,0,0
139,G-0139,WC-1934,M-1934-17,T-39,P-04792,T-39,81,0,0,0
140,G-0140,WC-1934,M-1934-17,T-39,P-07470,T-39,95,0,0,0
141,G-0141,WC-1938,M-1938-01,T-29,P-00572,T-29,29,0,0,0
142,G-0142,WC-1938,M-1938-01,T-73,P-00794,T-73,43,0,0,0
143,G-0143,WC-1938,M-1938-02,T-59,P-09277,T-59,35,0,0,0
144,G-0144,WC-1938,M-1938-02,T-18,P-01607,T-18,44,0,0,0
145,G-0145,WC-1938,M-1938-02,T-18,P-01799,T-18,69,0,0,0
146,G-0146,WC-1938,M-1938-02,T-59,P-01978,T-59,88,0,0,0
147,G-0147,WC-1938,M-1938-02,T-18,P-01607,T-18,103,0,0,0
148,G-0148,WC-1938,M-1938-02,T-59,P-04489,T-59,105,0,0,0
149,G-0149,WC-1938,M-1938-03,T-28,P-03073,T-28,1,0,0,0
150,G-0150,WC-1938,M-1938-03,T-28,P-05059,T-28,16,0,0,0
151,G-0151,WC-1938,M-1938-03,T-06,P-03477,T-06,38,0,0,0
152,G-0152,WC-1938,M-1938-03,T-28,P-05059,T-28,69,0,0,0
153,G-0153,WC-1938,M-1938-04,T-34,P-09561,T-34,13,0,0,0
154,G-0154,WC-1938,M-1938-04,T-34,P-07116,T-34,15,0,0,0
155,G-0155,WC-1938,M-1938-04,T-34,P-06711,T-34,28,0,0,0
156,G-0156,WC-1938,M-1938-04,T-34,P-01735,T-34,35,0,0,0
157,G-0157,WC-1938,M-1938-04,T-34,P-01735,T-34,76,0,0,0
158,G-0158,WC-1938,M-1938-04,T-34,P-06711,T-34,89,0,0,0
159,G-0159,WC-1938,M-1938-05,T-39,P-02623,T-39,2,0,0,0
160,G-0160,WC-1938,M-1938-05,T-51,P-05805,T-51,83,0,0,0
161,G-0161,WC-1938,M-1938-05,T-39,P-01559,T-39,94,0,0,0
162,G-0162,WC-1938,M-1938-06,T-09,P-02781,T-09,18,0,0,0
163,G-0163,WC-1938,M-1938-06,T-55,P-05903,T-55,23,0,0,1
164,G-0164,WC-1938,M-1938-06,T-09,P-05766,T-09,25,0,0,0
165,G-0165,WC-1938,M-1938-06,T-09,P-01535,T-09,44,0,0,0
166,G-0166,WC-1938,M-1938-06,T-55,P-04474,T-55,53,0,0,0
167,G-0167,WC-1938,M-1938-06,T-55,P-04474,T-55,59,0,0,0
168,G-0168,WC-1938,M-1938-06,T-09,P-01535,T-09,71,0,0,0
169,G-0169,WC-1938,M-1938-06,T-55,P-04474,T-55,89,0,0,0
170,G-0170,WC-1938,M-1938-06,T-09,P-02781,T-09,93,0,0,0
171,G-0171,WC-1938,M-1938-06,T-09,P-02781,T-09,104,0,0,0
172,G-0172,WC-1938,M-1938-06,T-55,P-04474,T-55,118,0,0,0
173,G-0173,WC-1938,M-1938-07,T-20,P-09410,T-20,93,0,0,0
174,G-0174,WC-1938,M-1938-07,T-20,P-06318,T-20,111,0,0,0
175,G-0175,WC-1938,M-1938-07,T-20,P-03976,T-20,118,0,0,0
176,G-0176,WC-1938,M-1938-08,T-59,P-04489,T-59,35,0,0,0
177,G-0177,WC-1938,M-1938-08,T-18,P-01607,T-18,51,0,0,0
178,G-0178,WC-1938,M-1938-08,T-18,P-06541,T-18,57,0,0,0
179,G-0179,WC-1938,M-1938-09,T-29,P-02949,T-29,8,0,0,0
180,G-0180,WC-1938,M-1938-09,T-29,P-01968,T-73,22,0,1,0
181,G-0181,WC-1938,M-1938-09,T-73,P-00747,T-73,42,0,0,0
182,G-0182,WC-1938,M-1938-09,T-73,P-06296,T-73,64,0,0,0
183,G-0183,WC-1938,M-1938-09,T-73,P-00794,T-73,75,0,0,0
184,G-0184,WC-1938,M-1938-09,T-73,P-00794,T-73,78,0,0,0
185,G-0185,WC-1938,M-1938-10,T-09,P-02781,T-09,30,0,0,0
186,G-0186,WC-1938,M-1938-10,T-20,P-03976,T-20,65,0,0,1
187,G-0187,WC-1938,M-1938-11,T-34,P-06711,T-34,40,0,0,0
188,G-0188,WC-1938,M-1938-11,T-34,P-01735,T-34,89,0,0,0
189,G-0189,WC-1938,M-1938-12,T-39,P-02808,T-39,9,0,0,0
190,G-0190,WC-1938,M-1938-12,T-28,P-05319,T-28,10,0,0,0
191,G-0191,WC-1938,M-1938-12,T-39,P-01559,T-39,51,0,0,0
192,G-0192,WC-1938,M-1938-12,T-39,P-01559,T-39,72,0,0,0
193,G-0193,WC-1938,M-1938-13,T-72,P-01669,T-72,9,0,0,0
194,G-0194,WC-1938,M-1938-13,T-72,P-09697,T-72,22,0,0,0
195,G-0195,WC-1938,M-1938-13,T-72,P-09697,T-72,37,0,0,0
196,G-0196,WC-1938,M-1938-13,T-72,P-09697,T-72,44,0,0,0
197,G-0197,WC-1938,M-1938-13,T-72,P-09376,T-72,80,0,0,0
198,G-0198,WC-1938,M-1938-13,T-72,P-01669,T-72,81,0,0,0
199,G-0199,WC-1938,M-1938-13,T-72,P-00080,T-72,84,0,0,0
200,G-0200,WC-1938,M-1938-13,T-72,P-01669,T-72,89,0,0,0
201,G-0201,WC-1938,M-1938-14,T-20,P-08236,T-20,25,0,0,0
202,G-0202,WC-1938,M-1938-14,T-09,P-02781,T-09,57,0,0,0
203,G-0203,WC-1938,M-1938-14,T-09,P-04249,T-09,62,0,0,0
204,G-0204,WC-1938,M-1938-15,T-72,P-00080,T-72,1,0,0,0
205,G-0205,WC-1938,M-1938-15,T-34,P-04854,T-72,19,0,1,0
206,G-0206,WC-1938,M-1938-15,T-34,P-04518,T-34,37,0,0,0
207,G-0207,WC-1938,M-1938-15,T-34,P-01735,T-34,39,0,0,0
208,G-0208,WC-1938,M-1938-15,T-34,P-06711,T-34,65,0,0,0
209,G-0209,WC-1938,M-1938-15,T-34,P-01735,T-34,85,0,0,0
210,G-0210,WC-1938,M-1938-16,T-39,P-02808,T-39,51,0,0,0
211,G-0211,WC-1938,M-1938-16,T-39,P-05539,T-39,60,0,0,1
212,G-0212,WC-1938,M-1938-16,T-09,P-05766,T-09,87,0,0,0
213,G-0213,WC-1938,M-1938-17,T-72,P-03773,T-72,28,0,0,0
214,G-0214,WC-1938,M-1938-17,T-72,P-00080,T-72,38,0,0,0
215,G-0215,WC-1938,M-1938-17,T-09,P-05766,T-09,44,0,0,0
216,G-0216,WC-1938,M-1938-17,T-09,P-02781,T-09,63,0,0,0
217,G-0217,WC-1938,M-1938-17,T-09,P-02781,T-09,74,0,0,0
218,G-0218,WC-1938,M-1938-17,T-09,P-01535,T-09,80,0,0,0
219,G-0219,WC-1938,M-1938-18,T-39,P-02808,T-39,6,0,0,0
220,G-0220,WC-1938,M-1938-18,T-34,P-04518,T-34,8,0,0,0
221,G-0221,WC-1938,M-1938-18,T-39,P-01559,T-39,16,0,0,0
